,precision,recall,f1-score,support
0,0.9517298529107105,0.9070088845014808,0.9288313788920339,5065.0
1,0.7155797101449275,0.8356840620592384,0.7709824333116461,1418.0
accuracy,0.8914082986271787,0.8914082986271787,0.8914082986271787,0.8914082986271787
macro avg,0.833654781527819,0.8713464732803595,0.84990690610184,6483.0
weighted avg,0.9000777007524688,0.8914082986271787,0.8943057264420895,6483.0
